Company ID,Company Name,Phone Number,Postal Code,Country
2613,La Boutarde,01 47 45 34 55,92200.0,France
2840,Au bout du bar,09 81 97 63 92,95100.0,
2984,Marlette BHV,,75004.0,
3019,Planet Sushi Pereire,01 40 54 00 00,75017.0,France
3129,Sogepar,,,
3474,Timhotel Groupe,,,
3481,Francis la butte,,75018.0,
3487,PARIS ROME,,75003.0,France
3488,SAS LE PERY,,31000.0,France
3497,Boulangerie Feuillette,,41350.0,France
3516,DEL ARTE MONT-DEL-MARSAN SAINT-PIERRE-DU-MONT,05 58 45 45 00,40280.0,France
3535,LES PETITES ASSIETTES,01 40 44 00 87,75014.0,France
3581,PATRIZIA,01 49 09 17 11,92100.0,France
3606,Ten Belles Bread (Parent),,75011.0,
3609,Radisson Blue Bordeaux,,33000.0,France
3681,Léon de B Filiales (Parent),,,
3764,L'assiette aux fromages,01 43 36 91 59,75005.0,France
3839,Doctolib,,75008.0,
3891,Eataly Salle,,75004.0,France
3896,IL GIGOLO,01 43 29 05 69,75005.0,France
4008,Planet Sushi Kléber,01 53 70 86 86,75016.0,France
4110,POKEBAR,,75017.0,
4116,Planet Sushi Saint Mandé,01 41 93 93 93,94160.0,
4410,Le patacrepe Echirolles,04 76 23 40 21,38130.0,France
4465,La Cuisine du Ptit Lu,,47600.0,France
4594,Coco de Mer,,75005.0,France
4637,Fresh burritos Lille,,59000.0,
4645,Le Bourg'bon Mouzda,33 9 82 24 10 87,33200.0,
4646,Groupe Sighor - Leo Resto & Ace Hotel,,,France
4649,Veng Hour,,92000.0,
4683,Maison Malesherbes SAS,,75008.0,France
4744,Double Dragon,01 71 32 41 95,75011.0,
4746,Falstaff,01 43 43 18 33,75011.0,
4940,L'Apollo,01 43 35 53 66,75014.0,France
4965,TECHSell,,92100.0,
4995,FRESH BURRITOS DUNKERQUE,09 53 83 64 98,59140.0,France
5508,SAS Villert - MOUSSE TOUCH,,59000.0,
5614,L'Apibo,01 55 34 94 50,75002.0,France
5784,LES FRANGINS,01 47 07 23 46,75013.0,
5793,LE FER A CHEVAL,03 20 72 65 63,59100.0,France
5861,LA PLAGE,+33 1 75 51 90 09,75019.0,France
5961,Au Port Du Salut,09 67 11 96 15,75005.0,
5984,LE PATACREPE,03 20 04 21 36,59260.0,
6076,Hamler's burgery,33143294491,75005.0,
6081,Le Ballu,,,
6158,Columbus Cafe  (Parent),,,
6178,Planet Sushi Voltaire,01 48 07 70 70,75011.0,France
6446,La Ferme De Charles,33148241111,75010.0,France
6737,Bar a caf,,21310.0,France
6823,SmartHab,,92200.0,France
6917,Berliner,,,France
6975,Amorino Paris 5,,75006.0,
7026,FLAMS SIEGE,0388529058,,France
7072,BISTROT DES CAMPAGNES,01 40 47 91 27,75014.0,
7108,Oncle Jack,,71100.0,
7157,HOTEL CFH,01 60 71 56 30,13127.0,
7236,Mozzato,01 42 21 02 63,75002.0,France
7306,Gosselin,01 45 08 03 59,75001.0,France
7324,Bagelstein Poitiers,,86000.0,
7327,L'estrapade,+33 1 43 25 72 58,75005.0,
7460,Café Moco,,75011.0,
7713,Shirvan,,75008.0,
7741,KEÏLI,,75011.0,France
7768,LES PERES POPULAIRES,01 43 48 49 22,75020.0,
7812,COLCHIDE,09 80 94 09 68,75018.0,France
7832,Ti Sable,,97217.0,France
8211,Bureau Vallée,,,
8268,CAFE DE L INDUSTRIE,09 63 62 98 93,78100.0,France
8272,Fresh burritos Lyon,,69000.0,France
8353,MERSEA,09 73 22 46 13,75009.0,
8541,Cousbox,,69001.0,France
8628,Air Liquide / AL IT,+33 140625555," Paris Cedex 07""",Paris
8637,Dataiku,,75009,
8640,AROLLA,,75001,France
8643,Le Phare,+33 2 51 84 11 90,44100,France
8647,Arcad Software,(603) 371-9074,74650,United States
8652,Mint Conseil,,92130,France
8664,Ubeeqo,33 1 78 16 45 70,92100,France
8689,UpSlide,,10018,
8694,Digital No Limit,+33 1 86 95 03 91,75008,France
8698,SMARTHYS,+33 1 83 62 89 96,92800,France
8702,HorseCom,33 1 71 96 52 55,14000,France
8746,TableOnline,+33 5 64 88 01 84,31300,France
8747,KTM Advance,33 1 40 27 47 67,75017,France
8758,BMI SYSTEM,+33 1 40 91 83 94,92120,France
8764,Kea & Partners,33 1 40 84 74 00,92240,France
8771,MULTIVAC Sepp Haggenmüller SE & Co. KG,,77462,France
8776,Legal Suite,,92150,
8779,Thalys,32 2 548 06 00,1000,Belgium
8786,BRIGHTEN,+33 1 44 01 46 40,78000,France
8790,Planeum - Certifiée GPTW 2017,+33 1 42 47 82 11,75010,France
8806,eBusiness Information,+33 1 41 24 43 20,,France
8824,Uside,,75008,France
8830,MyndBlue,,02142,United States
8832,D2SI,+33 1 43 12 10 80,75008,France
8834,Centre de Formation et de Perfectionnement des Journalistes,+33 9 50 12 94 16,75002,France
8836,SNCF,33-1-5325-6000,93200,France
8838,Urban Place,+972 3-927-4577,,Israel
8845,CARIZY,33 1 86 95 04 14,49320,France
8881,ELAN,,78061,
8885,Maison Kitsuné,,75009,France
8896,Zero Games Studios,," rue René Clair""",Paris
8900,Synolia,+33 4 27 70 53 70,69003,France
8903,Esokia Web Agency,+230 5252 3334,,Mauritius
8904,Jalios,33 1 39 23 92 80,78150,France
8911,Artdesk,+33 1 58 22 17 50,75008,France
8916,Yelloz components,,91940,France
8932,spgestion.fr,,,France
8935,Capgemini,+33 1 47 54 50 00,75017,France
8942,Mon-avocat.fr,33 1 72 73 98 82,75001,France
8971,Novethic,+33 1 58 50 98 14,75001,France
8992,AB Tasty,,50667,France
8998,Agence Clark,,75002,France
9004,Interim Management LLC,,10152,United States
9006,Aircall,+1 888-240-6923,10003,United States
9018,CMG Conseil,33140075070,75008,France
9025,InterCloud,33 1 81 80 26 00,75001,France
9036,Netfective Technology,+33 5 56 07 79 99,92250,France
9041,SCORE DDB,33 1 53 32 59 92,75017,France
9059,Flatchr,+33 9 50 44 91 56,92100,France
9064,Alcimed,33 1 44 30 44 30,75016,France
9075,Primobox,+33 5 57 99 50 34,75008,France
9097,TYPY,," CITÉ HITTORF""",Paris
9109,Agile4Me,,92320,France
9113,Equinox-Cognizant,,75009,France
9126,Techni-Contact / Md2i,+33 1 55 60 29 29,92100,France
9142,"""Bell & Ross",,8 Rue Copernic,Miami Beach
9148,Allo-Media,0170827895,75008,France
9154,dioki technologies,+33 1 77 62 79 27,93300,France
9170,Amabis France,33 1 45 36 45 00,92340,France
9171,THEMIIS,+1 480-505-8877,75009,United States
9172,Sept Lieues,+33 4 91 39 39 39,13007,France
9182,OpenDigitalEducation,+33 1 82 63 51 51,75017,France
9184,big boss studio,+33 4 80 80 55 70,06000,France
9190,FircoSoft,33 1 53 44 13 00,75012,France
9193,EDF,+33 140422222,75008,France
9198,Sutunam,+33 4 82 53 31 75,69009,France
9205,La FoncièreNumérique,,75008,France
9209,365Talents,,69002,France
9214,MELTY GROUP,33 1 83 62 00 81,94270,France
9223,Elenbi - EBG,+33 1 48 01 68 05,75011,France
9226,RMC,33 1 71 19 11 91,92130,France
9237,Ligue de Football Professionnel,,75116,France
9238,Weenect,33 6 27 25 80 20,75007,France
9240,Ouihelp.fr,33 1 83 79 97 58,75015,France
9244,Albus,+33 9 80 30 10 51,75000,France
9266,Sogedev,33 1 55 95 80 08," BOULOGNE BILLANCOURT""",Boulogne-Billancourt
9274,UpGraduate,+33 1 80 88 40 69,75015,France
9291,accengage,33 1 44 56 87 16,75002,France
9294,bengs lab,,75008,France
9301,Dorlet,,77300,France
9311,Leaders League,33 1 43 92 93 94,75116,France
9318,Kalray,(650) 469-3729,38330,France
9319,SEMANTIWEB,,92300,France
9322,URBAN LINKER,+33 1 77 37 23 90,75005,France
9323,Net Reviews,+33 4 13 25 81 70,40494,France
9336,Armis,,75001,France
9342,"""Zapa",,54 Rue de Lancry,Paris
9349,Spinergie,,,France
9354,Equancy,33 1 77 37 32 23,75116,France
9358,OpenDataSoft,,02109,
9366,CanalCloud,,92500,France
9386,"""HAProxy Technologies",,375 Totten Pond Road,Waltham
9411,VeryChic,33 8 26 10 82 82,75008,France
9412,Eiffage,+33 134658989,78140,France
9424,STORE AND SUPPLY,,75017,France
9427,Wallix,33 1 53 42 12 81,75017,France
9429,Teedji,,,France
9440,RIZZE,,75009,France
9445,Inventy,+33 4 89 82 92 66,92130,France
9479,MULTICULTURAL NETWORK CORPORATION Terms & Conditions Mentions légales,,75001,
9489,Headoo,,75008,France
9495,"""Shopmium",,11 Rue Tronchet,Paris
9501,sandro,33 1 40 39 90 21,75003,France
9504,ESV Digital,,60642,
9512,cello.fr,+33 9 70 71 23 21,75013,France
9513,Mutieg,,75009,France
9515,SILICOM SAS,+33 1 46 84 15 15,92100,France
9522,62 degrés,,,France
9524,Adloox,+1 917-763-0036,10018,United States
9532,Merci,33 1 42 77 00 33,75003,France
9542,RoomChecking,+33 9 51 50 42 51,94220,France
9544,EKYOG,33 2 23 47 09 90,35520,France
9545,Délégation Catholique pour la Coopération,,75007,France
9551,Brainsonic,33 1 58 28 19 20,75003,France
9553,YXIME SA,33 1 47 75 07 08,92100,France
9560,Quantmetry,,75008,France
9565,Goomeo,+33 5 55 58 85 80,87000,France
9566,LPA-CGR avocats,33 1 53 93 30 00,75008,France
9568,IK Investment Partners,442073044300,WC2E 7EN,United Kingdom
9569,aerium,,2633,Luxembourg
9585,Applidium,33 1 77 62 82 15,75010,France
9590,PERFORMANCE & INFLUENCE,+33 1 83 79 02 05,75011,France
9605,Cyanide,33 1 47 86 30 80,92000,France
9607,Brevalex,,75008,France
9624,Easyflyer,02 38 56 14 54,45100,France
9630,tbwa-corporate,,92513,France
9636,Airbus Helicopters,,13727,France
9641,Doctrine,+33186954209,75014,France
9645,Molotov,,75008,France
9651,Shapr,,10004,United States
9653,Paris Val de Marne,+33 1 43 90 64 00,94200,France
9676,Archos,+33 169331690,91430,France
9680,Pampa Paris,,75002,France
9683,Continental Search Alliance,,2316XC,Netherlands
9684,"""STid",,20 PARC D'ACTIVITÉS DES PRADEAUX,Gréasque
9698,Schoolab,,75002,France
9702,GARDEN PRICE,33 1 30 05 21 00,78310,France
9710,tequilarapido,+33492008030,06300,France
9713,Waycom,,92150,France
9727,Perfect Memory,+33 4 73 29 99 28,63400,France
9731,Evea Group,33 1 58 75 79 00,92230,France
9750,Meetic,33158179000,75009,France
9760,nam.R,,,France
9779,NFrance,+33 5 34 45 55 00,31000,France
9780,AntVoice,33 1 83 64 51 08,75002,France
9783,Altran,33 (0) 1 58 47 93 58,92200,France
9789,Collège des Bernardins,+33 1 53 10 74 44,75005,France
9791,Bearstech,+33 1 70 61 60 16,75002,France
9793,Strapi,,75008,France
9853,Data Solutions Fr,,13851,France
9861,Covéa Finance,+33 1 40 06 51 50,75008,France
9865,Boost.rs,+33 1 40 37 41 72,,France
9881,Skillup.co,33 1 76 40 02 98,75116,France
9882,Architizer,+1 646-461-6083,10004,United States
9883,Anjali MVP,,92400,France
9896,PickAsso,+33 9 67 71 34 61,75002,France
9901,DONTNOD Entertainment,+33144720574,75019,France
9906,PrestaShop -,,33130,
9918,AuxiVia,+33 9 72 61 54 14,,France
9922,Les CCE Allemagne,33 1 53 83 92 92,75008,France
9928,"""comScore",,11950 Democracy Drive,Reston
9935,Kylia France,+33147702418,75009,France
9936,Groupe DFM,33 1 43 96 80 00,94000,France
9946,Seenk,,75011,France
9951,TTC - Testing Training and Consulting,+972 9-760-2780,43365,Israel
9954,Alkemics,33 7 72 70 98 32,75009,France
9958,ZenProspect,,94111,United States
9965,NES SARL,33 1 53 38 57 00,75009,France
9973,COTE OUEST,+2304656402," CITIUS BUILDING 31 CYBERCITY""",Ebene
9979,France Digitale,,75002,France
9982,Synthetron N.V.,+32 2 211 34 01,1030,Belgium
9986,Brand and Celebrities,33 1 84 16 98 13,75009,France
9988,"""Pulpix",,25 West 39th Street,New York
10000,EXCILYS,+33141244320,94230,France
10007,orchestra,33 1 44 71 30 20,75002,France
10027,VideoProfile Group,,,United States
10052,"""J. Walter Thompson U.S.A.",,466 Lexington Avenue,New York
10055,Netino,33 1 41 45 65 65,75001,France
10067,Affine,+33 144904300," RUE WASHINGTON""",Paris
10068,CREAgile,,92100,France
10073,Magic Makers,33 6 27 31 06 23,75015,France
10087,OVH LTD,,,
10096,Fidesio,+33 1 76 77 27 61,75002,France
10129,UP SELL,+33 1 81 89 41 90,92120,France
10142,Deliveroo,44 20 3322 3444,EC4R 3TE,United Kingdom
10143,VECTAURY,+33 1 48 25 88 69,75009,France
10144,HighTekers France,,,
10145,The American University of Paris,3037576333,10271,United States
10146,LE CLUB DES EXTRAS,,,
10156,PERFORMANCE PARTNER,,78860,France
10160,ELEVON,,,France
10161,Enercoop,33 8 11 09 30 99,75019,France
10168,Nerim,33 1 80 40 05 00,75016,France
10172,Opteamis,+33 1 75 43 26 73,75017,France
10194,MeilleursAgents,33 1 45 66 24 24,75002,France
10195,Kingcom,33 1 40 40 50 00,75019,France
10201,Devoteam,+33 1 41 49 48 48,92300,France
10203,HeyTom,,67005,United States
10206,Horizon Software,+33 1 42 60 94 90,75008,France
10208,Novencia Group,+33 1 44 63 53 13,75002,France
10210,Sekoia,33 1 44 43 54 13,75008,France
10216,Nware,33 1 84 17 14 00,75013,France
10227,SNCD,+33 1 40 47 70 00,75005,France
10231,Dakine,+1 541-386-3166,97031,United States
10249,"""Marriott International",,10400 Fernwood Road,Bethesda
10260,BEVOLUTION AGENCY,,,
10262,Dictanova,+33 2 85 52 42 36,44200,France
10272,Airmis,,75008,France
10290,grafikmente,+33 1 42 96 33 17,75002,France
10292,ECLORE,,W12 8DW,United Kingdom
10296,MEDIA & BROADCAST TECHNOLOGIES® (MBT),+33 1 60 42 10 38,77700,France
10321,VERTUO Conseil,,92200,France
10329,Faïencerie de Gien,33 2 38 05 21 06,10707,France
10332,APPEX France,+33 1 49 24 93 61,75116,France
10338,WAM World and More,33 1 47 16 97 90,75008,France
10353,Novidy's S.A.,33 1 69 19 73 84,78140,France
10361,Shippeo,33 6 29 18 22 74,75007,France
10386,Infopro Digital,+33 1 77 92 92 92,92160,France
10388,IDECSI,,95050,United States
10391,5eRue,+33 1 48 04 05 49,75003,France
10392,PSB Paris School of Business,+33 1 53 36 44 00,75013,France
10396,MANGOPAY,,75009,France
10410,Sublime Skinz,33 1 84 79 14 60,75018,France
10417,MIF,33 9 70 15 77 77,75481,France
10443,Le Quotidien du Médecin,,92245,France
10446,Restopolitan,33 1 46 34 87 28,75116,France
10447,Akeance Consulting,+33 1 42 94 08 90,75008,France
10459,Lorenz Life Sciences Ltd.,,19102,United States
10460,CodinGame,+33 9 54 39 85 49, ROND-POINT BENJANMIN FRANKLLIN,39521
10462,Belharra sas,+33 5 59 70 40 70,64200,France
10469,BOOK MY MUSIC,,,
10473,ENSCI_LesAteliers,,75011,France
10474,Atelier NA,33 6 98 70 55 25,75008,France
10482,H8 COLLECTION HOTEL GROUP,33 1 53 64 90 65,75008,France
10489,Welcome to the Jungle,+33 9 67 17 53 86,75002,France
10491,ADALIA,+212 5226-40640,20100,Morocco
10497,QualyCloud,+33 1 40 54 89 64,75017,France
10501,Keyade,33 1 44 79 90 02,92200,France
10505,Pandacraft,33 6 27 15 10 29,75002,France
10511,theTribe.io,+33 9 72 47 69 14,44000,France
10524,VINN,+49 2151 484420,94043,Germany
10531,21Net Ltd.,,HR8 1RZ,United Kingdom
10537,Rivoli Patrimoine,+33 1 48 87 53 02,75004,France
10548,Zelros,,75013,France
10556,Cirpack,33 1 83 75 38 00,75015,France
10561,SNCZ,,59111,France
10580,PHENIX,,75017,France
10583,GROUPE ITOP,+33 9 70 72 29 29,91400,France
10586,LeKiosk,33 1 53 53 01 90,75008,France
10600,Voltalis,33 1 56 43 25 18,75008,France
10626,Steve Agency,,75010,France
10634,Praditus,33 6 14 69 89 71,75016,France
10635,Mawenzi Partners,+33 1 83 64 28 39,75008,France
10646,Bidmotion,,75002,France
10649,CXP Group,+33 1 53 05 05 53,75017,France
10661,Gandi,+33 1 70 37 76 61,75013,France
10663,Adservio IT Quality Experts,+33 1 85 09 18 09,75008,France
10672,Hubware,,75006,France
10673,Seeqle,,75017,France
10675,upday for Samsung,+49 30 2591727850,10969,Germany
10683,Incenteev,+33 805 69 09 18,75015,France
10686,Castalie,33 1 46 20 10 00,75009,France
10688,180gram,,,
10692,INBOX,+33 1 55 48 02 70,92240,France
10716,KiWATCH,+33 806 11 00 12,44700,France
10732,Clustaar,,75010,France
10745,NAVYA,,69100,France
10754,Bam.tech,,75017,France
10767,Wandercraft,33 1 41 13 15 18,91400,France
10770,Change,33 1 44 37 13 14,75009,France
10784,HelloAsso,33 5 24 72 28 17,33100,France
10795,WATSOFT,+33 5 56 15 75 70,33600,France
10808,L'argus,33 1 53 29 11 00,75010,France
10809,ISPA Consulting,+33 1 78 14 14 20,92800,France
10811,Konnect systems,,60110,France
10814,Weaving Group,+33 1 40 28 24 21,75002,France
10818,Parella,+33 1 85 65 55 00,75008,France
10831,Proparco,+33 1 53 44 31 08,75001,France
10839,HEAVEN,33 1 75 77 63 00,75002,France
10842,Converteo,33 1 44 77 99 43,75015,France
10845,Billecart-Salmon,+33 3 26 52 60 22,75017,France
10855,isatech,+33 820 32 03 10,44700,France
10861,Lunchr,,94103,United States
10865,CosaVostra,+33 1 77 13 50 80,75017,France
10895,"""NineSigma",,23611 Chagrin Boulevard,Beachwood
10920,Advalo,,75001,France
10925,Amplitude Studios,33 1 44 68 33 89,75012,France
10926,BlueBoard,,98108,
10927,Criteo,+33 1 40 40 22 90,75009,France
10936,Coheris,+33 157326060,92150,France
10938,Carbon Leadership,,,France
10941,CHANTAL BAUDRON SAS,,75008,France
10953,Doctolib,33 1 85 08 42 24,75002,France
10984,LOGIC DESIGN,33 1 46 04 88 04,92100,France
10990,ARONDOR,33171182100,75008,France
10993,IMM International,,75002,France
11006,Work4 Labs Inc.,877-509-0403,94103,United States
11013,Firerank,,63000,France
11014,ActiveEon,+33 9 88 77 76 60,06560,France
11027,Hopscotch SA,33 1 58 65 00 00,75002,France
11033,NODCOM,,78390,France
11041,Orange,+33 1 44 44 22 22,75015,France
11046,Le Petit Ballon,33 1 58 56 60 80,75008,France
11065,LiveMentor,33 1 84 17 03 57,75006,France
11069,ONIAM,,93170,France
11081,Busy.org,,,
11083,ISCOM,+33 3 28 36 16 10,75009,France
11087,Kolibree,33 1 47 38 73 90,92200,France
11091,SATT Nord,+33 3 28 36 04 68,59800,France
11097,Lunchr,33 9 77 55 83 76," ROND POINT BENJAMIN FRANKLIN""",MONTPELLIER
11107,Oscaro,33 1 41 47 51 51,75008,France
11116,Heetch,33 7 83 43 89 46,75004,France
11122,La Réunion Aérienne,33 1 43 18 46 00,75009,France
11126,Dba,+33 1 42 44 21 00,75001,France
11127,Conexance,33 3 28 04 74 40,59800,France
11128,Gérard Mulot,+33 1 43 26 85 77,75006,France
11149,QuiToque,33 1 58 80 80 20,75003,France
11155,Golden Bees,,75008,France
11160,Anaïk,+33 1 53 43 03 30,59650,France
11163,DEVENSON I Groupe VISEO I Salesforce Platinum Partner,+33 4 84 25 05 86,13090,France
11169,AD'Missions,33 1 41 92 98 60,75017,France
11173,ISAI Gestion,,75017,France
11175,Transformation publique,,75012,France
11176,BSR,212-370-7707,94108,United States
11182,Blue Data Technologies,,,
11188,Datalyo - Data Driven Consulting,,75013,
11196,Swaven,,75010,France
11200,TRUSK,," RUE VANEAU""",PARIS
11214,JPB SYSTEME,+33 1 64 79 71 20,77950,France
11215,MARIAGE FRÈRES,33 1 43 47 18 54,75004,France
11216,Mister Bell,33 1 80 18 28 42,75017,France
11219,MYTRAFFIC,,,France
11222,Praxedo,,75009,France
11239,Pierre-Yves Rochon,,60611,United States
11242,QWAM CI,33 1 44 69 59 20,75009,France
11244,ORINOX,+33 2 40 07 23 40,44110,France
11263,Arkose,+33 1 49 88 45 07,93100,France
11264,Made in Surveys,,N7 9DP,United Kingdom
11265,Potion.social,,59000,France
11275,GRENADE & SPARKS,33 1 40 81 01 10,92600,France
11298,Bird Office,33 1 85 08 51 20,75008,France
11301,"""Kochava",,414 Church Street,Sandpoint
11309,OPAL-RT TECHNOLOGIES,+1 514-935-2323,H3K 1G6,Canada
11315,CLEARNOX,,75011,France
11321,m4x.org,,,France
11327,Warning Up,+33 1 53 85 88 00,75007,France
11329,Marcel,(212) 696-3800,75009,France
11330,onefinestay,(800) 048-8588,EC1V 4PA,United Kingdom
11350,IFTH,+33 1 44 08 19 00,75013,France
11356,Next Level Formation,+33 1 84 16 19 80,92300,France
11365,EIM Executive Interim Management,44 2072 901 430,SW1A 1JD,United Kingdom
11376,DTZ Investors,,EC4N 7BL,United Kingdom
11382,IRT Railenium,,59300,France
11398,ubudu,+33 1 40 40 74 72,75018,France
11402,PRIUM SOLUTIONS,+33 1 47 03 15 90,75116,France
11418,Place des Tendances,33 8 10 00 50 55,75009,France
11431,"""Speaken",speaken.com,,75015
11434,Corporama,33 155252460,28037,France
11437,ESIEA,+33 1 43 90 77 08,75005,France
11447,BE API,+33 1 53 09 20 10,75019,France
11451,Div'ision Studio,,,
11453,RCB INFORMATIQUE,+33 1 30 49 31 10,78310,France
11491,Lyf Pay,+33 9 81 86 41 81,75001,France
11503,biin — bureau d'idées nouvelles,+33 4 81 91 61 51,69100,France
11518,Bergamotte,33 1 76 35 01 10,75010,France
11520,Mailinblack / Letsignit,+33 4 91 11 47 30," Les Baronnies - bât C""",Marseille
11522,Influence4You,33 1 80 88 41 21,92400,France
11527,Intersec,,92085,United States
11531,Awelty,+33 3 22 80 89 38,80000,France
11537,Josiane,,,
11549,U Pro,+33 1 41 34 20 23,75002,France
11552,Eelway,33 1 76 39 02 68,14830,France
11554,L'Art en direct,+33 1 55 35 25 10,75001,France
11562,Mazeberry,+33 3 66 72 80 24,59110,France
11564,L'Exception,33144619026,75010,France
11573,Unow,,20119,France
11592,My Media,33 1 70 98 98 00,92300,France
11593,Advent Group,," RUE LAFAYETTE""",Paris
11599,THEPHOTOACADEMY.com,(094) 245-1758,75019,France
11609,Cirruseo,,75009,France
11610,Symbio,33 6 38 69 81 34,75017,France
11611,360Learning,33 1 53 63 11 84,75008,France
11622,Antidox,+33 9 82 34 89 62,75009,France
11628,ReachFive,+33 1 76 44 06 01,75009,France
11632,Archibald & Abraham,+33 1 83 62 94 82,75001,France
11639,Sun'R Spas,33 1 53 81 03 15,75009,France
11640,hckrs.io,,,France
11651,CoSpirit MediaTrack,33 1 56 03 55 55,75010,France
11655,1913 Telecom,+33 800 00 19 13,75014,France
11658,BFT Investment Managers,,75015,France
11662,GOWIZYOU,+33 1 83 62 62 90,77700,France
11664,OurCo,+33 1 70 37 76 61,75013,France
11675,June Partners,33 1 84 17 64 55,75009,France
11679,DotEmu,33 1 53 17 64 24,75009,France
11683,Foodles,,92110,France
11693,Coefficy,+33 2 77 41 80 75,76140,France
11694,Vinci Technologies SA,33 1 41 37 92 20,92000,France
11703,Zen'to,+33 1 80 88 49 00,92300,France
11707,Finamic Services,,,Switzerland
11712,Storefront,+1 415-754-0108,10013,United States
11713,Wamiz,33 9 72 30 66 01,75003,France
11715,Avangarde,,,
11728,Axialys,33170200200,92400,France
11734,OpenIP,33 1 76 71 05 00,92110,France
11744,WeFix,+33 1 84 79 29 47,33900,France
11749,STAFFMATCH,,92110,France
11764,Paylogic International,31 88 700 0100,9712PM,Netherlands
11766,Welcome Media,+33 1 82 83 53 20,75116,France
11800,You & Mr Jones Inc.,,10018,United States
11805,Indiana Capital,,,
11821,MAILEVA,+33810802801,94220,France
11837,MinuteBuzz,33 6 62 63 29 08,02141,France
11840,Souffl,+33 1 42 60 27 19,75019,France
11841,Captain Dash,,75002,France
11842,Clustree,+33 9 72 41 09 54,75009,France
11847,dailymotion,+33 1 77 35 11 00,75017,France
11865,axereal-elevage.com,,45166,France
11919,Lengow,+33 2 85 52 64 15, Paris, France
11933,Adamas Avocats,+33 4 72 41 15 75,69006,France
11987,Département du Rhône,+33 4 72 61 77 77,69370,France
11991,Suncard Group,,97122,Guadeloupe
12012,Furmanite,(281) 331-6154,77478,United States
12022,Sea TPI,33 4 42 98 11 30,13600,France
12074,Le Studio ,,75002,
12082,TAYLOR WIMPEY PLC,+44 20 7355 8100,HP12 3NR,United Kingdom
12106,Belfast City Council,+44 28 9032 0202,BT1 5GS,United Kingdom
12108,Roth France,,14428,France
12130,Location Labs by Avast,+1 510-992-4547,94608,United States
12134,Bleu Libellule,+33 4 66 71 74 80,30660,France
12149,Wipro,,560035,India
12153,GRDF,33 9 69 36 35 34,75009,France
12180,Convictionsrh,+33 1 80 27 17 90,75009,France
12215,ATR Aircraft,+33 5 62 21 67 47,31712,France
12217,Crdit Agricole Nord de France,+33 9 69 39 92 91, Hauts-de-France,59020
12247,Prêt à Partir S.A.,+33 3 83 65 15 15, Gondreville, France
12278,Wirecard,+49 89 44241400,85609,Germany
12283,IKKS,,,
12295,Awilco Drilling PLC,+44 12 2473 7900, KINGSHILL PARK,AB32 6FL
